time_stamp, elapsed_time, camera_id, face_count, avg_FEQ, person1, person2, person3, person4, person5, person6, person7, person8, person9
2018-06-14-09:53:14.104, 0.138551, 4, 2, 0.01960283424705267, 0.01640303246676922, 0.02280263602733612
2018-06-14-09:53:14.254, 0.287997, 4, 2, 0.01791405864059925, 0.016850080341100693, 0.01897803694009781
2018-06-14-09:53:14.344, 0.378226, 4, 2, 0.047202104702591896, 0.03252822533249855, 0.06187598407268524
2018-06-14-09:53:14.484, 0.517914, 4, 2, 0.03423521853983402, 0.021044563502073288, 0.04742587357759476
2018-06-14-09:53:14.596, 0.630681, 4, 2, 0.018797277007251978, 0.009746103547513485, 0.02784845046699047
2018-06-14-09:53:14.728, 0.762034, 4, 2, 0.05559876328334212, 0.011201213113963604, 0.09999631345272064
2018-06-14-09:53:14.837, 0.871456, 4, 2, 0.0302633224055171, 0.020061803981661797, 0.040464840829372406
2018-06-14-09:53:14.969, 1.003147, 4, 2, 0.026779087260365486, 0.023286305367946625, 0.030271869152784348
2018-06-14-09:53:15.114, 1.148409, 4, 2, 0.035787565633654594, 0.0350126251578331, 0.03656250610947609
2018-06-14-09:53:15.219, 1.253007, 4, 2, 0.03151892917230725, 0.013171949423849583, 0.04986590892076492
2018-06-14-09:53:15.349, 1.38374, 4, 2, 0.03195751225575805, 0.05033063143491745, 0.013584393076598644
2018-06-14-09:53:15.452, 1.486321, 4, 2, 0.053931049071252346, 0.08913693577051163, 0.018725162371993065
2018-06-14-09:53:15.590, 1.624375, 4, 3, 0.05233382495741049, 0.037679389119148254, 0.09301680326461792, 0.02630528248846531
2018-06-14-09:53:15.722, 1.756029, 4, 1, 0.03422932326793671, 0.03422932326793671
2018-06-14-09:53:15.859, 1.893487, 4, 3, 0.03201043512672186, 0.0053640566766262054, 0.07599521428346634, 0.014672034420073032
2018-06-14-09:53:15.991, 2.025596, 4, 3, 0.270189980044961, 0.01578456163406372, 0.780829668045044, 0.013955710455775261
2018-06-14-09:53:16.119, 2.153637, 4, 2, 0.10726427100598812, 0.020924191921949387, 0.19360435009002686
2018-06-14-09:53:16.249, 2.283661, 4, 3, 0.01678845038016637, 0.015247589908540249, 0.014785408042371273, 0.020332353189587593
2018-06-14-09:53:16.410, 2.443981, 4, 3, 0.013872807379812002, 0.020061803981661797, 0.014785408042371273, 0.006771210115402937
2018-06-14-09:53:16.541, 2.575425, 4, 3, 0.018217346941431362, 0.01930808648467064, 0.026963500306010246, 0.008380454033613205
2018-06-14-09:53:16.683, 2.716871, 4, 3, 0.029775031221409638, 0.008950711227953434, 0.05155818536877632, 0.02881619706749916
2018-06-14-09:53:16.820, 2.854002, 4, 3, 0.017753039797147114, 0.0067449901252985, 0.01501474715769291, 0.031499382108449936
2018-06-14-09:53:16.980, 3.013838, 4, 3, 0.23543489103515944, 0.6244080662727356, 0.034293949604034424, 0.04760265722870827
2018-06-14-09:53:17.109, 3.143728, 4, 3, 0.627398299674193, 0.9462003707885742, 0.024656854569911957, 0.911337673664093
2018-06-14-09:53:17.240, 3.274052, 4, 3, 0.6625638442734877, 0.968856155872345, 0.03588069602847099, 0.9829546809196472
2018-06-14-09:53:17.400, 3.434265, 4, 3, 0.35602981473008793, 0.9784671068191528, 0.021084841340780258, 0.06853749603033066
2018-06-14-09:53:17.529, 3.563493, 4, 3, 0.3453780437509219, 0.989751398563385, 0.020177319645881653, 0.026205413043498993
2018-06-14-09:53:17.660, 3.694054, 4, 3, 0.4176082535025974, 0.9713473320007324, 0.004982269834727049, 0.27649515867233276
2018-06-14-09:53:17.820, 3.853784, 4, 3, 0.37508823660512763, 0.9859904050827026, 0.10894504934549332, 0.030329255387187004
2018-06-14-09:53:17.949, 3.983419, 4, 2, 0.9581806063652039, 0.9837849736213684, 0.9325762391090393
2018-06-14-09:53:18.079, 4.113518, 4, 3, 0.3529546943803628, 0.9773275852203369, 0.06108710169792175, 0.02044939622282982
2018-06-14-09:53:18.210, 4.244337, 4, 3, 0.37875610621025163, 0.9793935418128967, 0.14792406558990479, 0.008950711227953434
2018-06-14-09:53:18.340, 4.373979, 4, 2, 0.14943993417546153, 0.28826844692230225, 0.010611421428620815
2018-06-14-09:53:18.470, 4.504019, 4, 3, 0.2218172149732709, 0.6065567135810852, 0.045099567621946335, 0.01379536371678114
2018-06-14-09:53:18.600, 4.634339, 4, 3, 0.09369574207812548, 0.2658804953098297, 0.005384937860071659, 0.00982179306447506
2018-06-14-09:53:18.760, 4.794085, 4, 3, 0.3089987696148455, 0.9144436717033386, 0.004736748989671469, 0.007815888151526451
2018-06-14-09:53:18.889, 4.923399, 4, 3, 0.33238506875932217, 0.9725714325904846, 0.01384861022233963, 0.01073516346514225
2018-06-14-09:53:19.020, 5.053777, 4, 3, 0.32682330984001356, 0.9604354500770569, 0.005752545315772295, 0.01428193412721157
2018-06-14-09:53:19.149, 5.183329, 4, 3, 0.3273411178961396, 0.9567151665687561, 0.011244560591876507, 0.014063626527786255
2018-06-14-09:53:19.312, 5.346069, 4, 3, 0.33491754718124866, 0.9863105416297913, 0.006388320587575436, 0.0120537793263793
2018-06-14-09:53:19.420, 5.454238, 4, 3, 0.3351547258595626, 0.9874720573425293, 0.006877107545733452, 0.011115012690424919
2018-06-14-09:53:19.583, 5.617007, 4, 3, 0.01152560394257307, 0.01141961570829153, 0.011288074776530266, 0.011869121342897415
2018-06-14-09:53:19.720, 5.754073, 4, 3, 0.008483625948429108, 0.011201213113963604, 0.006903837900608778, 0.007345826830714941
2018-06-14-09:53:19.853, 5.887284, 4, 3, 0.31367694012199837, 0.017917344346642494, 0.9178933501243591, 0.005220125894993544
2018-06-14-09:53:19.990, 6.024102, 4, 3, 0.02985824163382252, 0.06954174488782883, 0.01634012721478939, 0.0036928527988493443
2018-06-14-09:53:20.119, 6.15314, 4, 3, 0.09622200950980186, 0.20323270559310913, 0.08006926625967026, 0.0053640566766262054
2018-06-14-09:53:20.249, 6.283642, 4, 3, 0.3240511352196336, 0.9428234100341797, 0.023464657366275787, 0.005865338258445263
2018-06-14-09:53:20.380, 6.414709, 4, 3, 0.3613491423117618, 0.9603611826896667, 0.11596070975065231, 0.0077255344949662685
2018-06-14-09:53:20.539, 6.57372, 4, 3, 0.34361506594965857, 0.9750121831893921, 0.04804736003279686, 0.007785654626786709
2018-06-14-09:53:20.670, 6.704472, 4, 3, 0.3278028291339676, 0.008156249299645424, 0.9653158187866211, 0.009936419315636158
2018-06-14-09:53:20.800, 6.833751, 4, 3, 0.34074893221259117, 0.9620363116264343, 0.020645931363105774, 0.039564553648233414
2018-06-14-09:53:20.929, 6.963653, 4, 3, 0.3041722731043895, 0.8369547724723816, 0.05877655744552612, 0.01678548939526081
2018-06-14-09:53:21.070, 7.104374, 4, 2, 0.44940264243632555, 0.02080448903143406, 0.878000795841217
2018-06-14-09:53:21.169, 7.202605, 4, 2, 0.4796980209648609, 0.020371295511722565, 0.9390247464179993
2018-06-14-09:53:21.298, 7.332178, 4, 2, 0.49633035343140364, 0.01621503196656704, 0.9764456748962402
2018-06-14-09:53:21.431, 7.464998, 4, 2, 0.4406721293926239, 0.811676025390625, 0.0696682333946228
2018-06-14-09:53:21.559, 7.592519, 4, 2, 0.5037885326892138, 0.9663470387458801, 0.04123002663254738
2018-06-14-09:53:21.690, 7.724292, 4, 2, 0.5100503955036402, 0.9799382090568542, 0.0401625819504261
2018-06-14-09:53:21.819, 7.853635, 4, 2, 0.4987233653664589, 0.9700702428817749, 0.027376487851142883
2018-06-14-09:53:21.919, 7.953425, 4, 2, 0.4972979202866554, 0.9747251272201538, 0.019870713353157043
2018-06-14-09:53:22.049, 8.082937, 4, 2, 0.36277269572019577, 0.6811968088150024, 0.0443485826253891
2018-06-14-09:53:22.180, 8.213932, 4, 2, 0.04060209356248379, 0.042009055614471436, 0.03919513151049614
2018-06-14-09:53:22.309, 8.343522, 4, 2, 0.05507357092574239, 0.10017222166061401, 0.009974920190870762
2018-06-14-09:53:22.440, 8.474184, 4, 3, 0.034287224834163986, 0.05439931899309158, 0.042642395943403244, 0.005819959565997124
2018-06-14-09:53:22.570, 8.604419, 4, 3, 0.024399560876190662, 0.04232458770275116, 0.021165618672966957, 0.00970847625285387
2018-06-14-09:53:22.729, 8.763411, 4, 3, 0.03071713059519728, 0.007093861699104309, 0.08035746961832047, 0.004700060468167067
2018-06-14-09:53:22.856, 8.890354, 4, 2, 0.015511072939261794, 0.02742854319512844, 0.0035936026833951473
2018-06-14-09:53:22.960, 8.993914, 4, 2, 0.012489928398281336, 0.008950711227953434, 0.016029145568609238
2018-06-14-09:53:23.089, 9.123389, 4, 2, 0.006963863270357251, 0.007489624433219433, 0.0064381021074950695
2018-06-14-09:53:23.219, 9.253211, 4, 2, 0.09111546445637941, 0.1755380779504776, 0.006692850962281227
2018-06-14-09:53:23.349, 9.383564, 4, 2, 0.4019461926072836, 0.8000679016113281, 0.0038244836032390594
2018-06-14-09:53:23.484, 9.518731, 4, 2, 0.25550708803348243, 0.5078042149543762, 0.003209961112588644
2018-06-14-09:53:23.589, 9.623444, 4, 2, 0.4076792048290372, 0.8101786971092224, 0.005179712548851967
2018-06-14-09:53:23.720, 9.753827, 4, 2, 0.1798031646758318, 0.35398629307746887, 0.005620036274194717
2018-06-14-09:53:23.849, 9.883101, 4, 3, 0.2715404639020562, 0.7611835598945618, 0.04594820737838745, 0.007489624433219433
2018-06-14-09:53:24.011, 10.044855, 4, 3, 0.4243513715143005, 0.8718026280403137, 0.39741209149360657, 0.003839395008981228
2018-06-14-09:53:24.141, 10.175145, 4, 3, 0.5775843886658549, 0.9542227387428284, 0.7709825038909912, 0.0075479233637452126
2018-06-14-09:53:24.270, 10.303878, 4, 3, 0.4130823854357004, 0.5028152465820312, 0.7285552024841309, 0.00787670724093914
2018-06-14-09:53:24.400, 10.433915, 4, 3, 0.4565177261829376, 0.8299059867858887, 0.5245164632797241, 0.015130728483200073
2018-06-14-09:53:24.560, 10.594035, 4, 3, 0.39111304096877575, 0.9772408604621887, 0.17652958631515503, 0.019568676128983498
2018-06-14-09:53:24.689, 10.723395, 4, 3, 0.4470365842183431, 0.9720456004142761, 0.3609394431114197, 0.008124709129333496
2018-06-14-09:53:24.819, 10.853314, 4, 3, 0.36706023445973796, 0.9672868847846985, 0.1212688684463501, 0.012624950148165226
2018-06-14-09:53:24.949, 10.983633, 4, 3, 0.35999901096026105, 0.9260365962982178, 0.1439080685377121, 0.01005236804485321
2018-06-14-09:53:25.110, 11.144334, 4, 3, 0.3579620214489599, 0.8440237045288086, 0.22303840517997742, 0.00682395463809371
2018-06-14-09:53:25.240, 11.273811, 4, 3, 0.3117976216599345, 0.20165595412254333, 0.7205649614334106, 0.013171949423849583
2018-06-14-09:53:25.370, 11.404348, 4, 3, 0.03367368597537279, 0.07369626313447952, 0.014503580518066883, 0.012821214273571968
2018-06-14-09:53:25.500, 11.533755, 4, 3, 0.01893040134261052, 0.02391638793051243, 0.02665773779153824, 0.006217078305780888
2018-06-14-09:53:25.629, 11.663519, 4, 3, 0.04343697692578038, 0.08299414813518524, 0.04360952973365784, 0.0037072529084980488
2018-06-14-09:53:25.790, 11.823925, 4, 3, 0.04853530445446571, 0.1108555942773819, 0.02241421863436699, 0.012336100451648235
2018-06-14-09:53:25.886, 11.92017, 4, 2, 0.02543055173009634, 0.021044563502073288, 0.029816539958119392
2018-06-14-09:53:26.020, 12.053933, 4, 2, 0.025959701277315617, 0.03796369209885597, 0.013955710455775261
2018-06-14-09:53:26.151, 12.185599, 4, 2, 0.022664607502520084, 0.023464657366275787, 0.02186455763876438
2018-06-14-09:53:26.279, 12.313318, 4, 2, 0.05263165105134249, 0.0892956480383873, 0.015967654064297676
2018-06-14-09:53:26.409, 12.443561, 4, 2, 0.01496288226917386, 0.0091610262170434, 0.02076473832130432
2018-06-14-09:53:26.509, 12.54324, 4, 1, 0.014559517614543438, 0.014559517614543438
2018-06-14-09:53:26.606, 12.640385, 4, 1, 0.014227045699954033, 0.014227045699954033
2018-06-14-09:53:26.739, 12.773595, 4, 1, 0.023065226152539253, 0.023065226152539253
2018-06-14-09:53:26.870, 12.904207, 4, 2, 0.017449199222028255, 0.018869252875447273, 0.016029145568609238
2018-06-14-09:53:26.999, 13.03373, 4, 2, 0.014736262150108814, 0.020023442804813385, 0.009449081495404243
2018-06-14-09:53:27.099, 13.133483, 4, 2, 0.020111936377361417, 0.03252822533249855, 0.007695647422224283
2018-06-14-09:53:27.231, 13.264901, 4, 2, 0.02420013421215117, 0.04377273842692375, 0.004627529997378588
2018-06-14-09:53:27.359, 13.393253, 4, 2, 0.05317478068172932, 0.08819004893302917, 0.01815951243042946
2018-06-14-09:53:27.489, 13.523139, 4, 2, 0.14661885611712933, 0.2514638304710388, 0.04177388176321983
2018-06-14-09:53:27.589, 13.623282, 4, 2, 0.03922080807387829, 0.044597577303647995, 0.03384403884410858
2018-06-14-09:53:27.719, 13.753211, 4, 2, 0.06643653940409422, 0.025809621438384056, 0.10706345736980438
2018-06-14-09:53:27.849, 13.882983, 4, 2, 0.032787215895950794, 0.026963500306010246, 0.03861093148589134
2018-06-14-09:53:27.985, 14.019346, 4, 3, 0.10084004079302152, 0.025809621438384056, 0.26626187562942505, 0.010448625311255455
2018-06-14-09:53:28.119, 14.153324, 4, 3, 0.2221669292387863, 0.02460992895066738, 0.6378207206726074, 0.004070138093084097
2018-06-14-09:53:28.249, 14.283067, 4, 3, 0.3397768313686053, 0.030271869152784348, 0.9468920826911926, 0.04216654226183891
2018-06-14-09:53:28.410, 14.443964, 4, 3, 0.3415955326830347, 0.012722709216177464, 0.9842154383659363, 0.02784845046699047
2018-06-14-09:53:28.540, 14.574561, 4, 3, 0.33468651833633584, 0.013070784509181976, 0.9756234288215637, 0.015365341678261757
2018-06-14-09:53:28.670, 14.703764, 4, 3, 0.33509354790051776, 0.01584536023437977, 0.9801672697067261, 0.009268013760447502
2018-06-14-09:53:28.801, 14.835556, 4, 3, 0.3428110498934984, 0.014615669846534729, 0.9914886951446533, 0.022328784689307213
2018-06-14-09:53:28.930, 14.964477, 4, 3, 0.3353137226464848, 0.012100384570658207, 0.9899864196777344, 0.003854363691061735
2018-06-14-09:53:29.086, 15.120543, 4, 3, 0.33578599616885185, 0.010408313013613224, 0.9924812912940979, 0.004468384198844433
2018-06-14-09:53:29.219, 15.253709, 4, 3, 0.01923807306836049, 0.014785408042371273, 0.035611413419246674, 0.007317397743463516
2018-06-14-09:53:29.352, 15.38646, 4, 3, 0.09288075131674607, 0.01353214867413044, 0.2544163465499878, 0.010693758726119995
2018-06-14-09:53:29.494, 15.528611, 4, 3, 0.15134328169127306, 0.037256766110658646, 0.3904177248477936, 0.026355354115366936
2018-06-14-09:53:29.630, 15.664056, 4, 3, 0.20517702028155327, 0.020685460418462753, 0.5832033753395081, 0.011642225086688995
2018-06-14-09:53:29.757, 15.791654, 4, 3, 0.014899095520377159, 0.01764446310698986, 0.018833130598068237, 0.00821969285607338
2018-06-14-09:53:29.889, 15.923189, 4, 3, 0.020360307457546394, 0.022977370768785477, 0.028544152155518532, 0.00955939944833517
2018-06-14-09:53:30.050, 16.08449, 4, 3, 0.017450308427214622, 0.0120537793263793, 0.02838212437927723, 0.011915021575987339
2018-06-14-09:53:30.179, 16.21313, 4, 3, 0.01431870615730683, 0.014172364957630634, 0.01808999478816986, 0.010693758726119995
2018-06-14-09:53:30.309, 16.343311, 4, 3, 0.019824786732594173, 0.011375600472092628, 0.03527754545211792, 0.012821214273571968
2018-06-14-09:53:30.440, 16.474054, 4, 3, 0.013163205857078234, 0.01327388733625412, 0.014392335899174213, 0.01182339433580637
